filename,neighborhood,stove_type,primary_fuel,meter_id,meter_configuration
alfashir1_B12,alfashir,rocket,wood,B12,B
alfashir1_B13,alfashir,rocket,wood,B13,B
alfashir1_B14,alfashir,rocket,wood,B14,B
alfashir1_B21,alfashir,rocket,wood,B21,B
alfashir1_B22,alfashir,rocket,wood,B22,B
alfashir1_B23,alfashir,rocket,wood,B23,B
alfashir1_B24,alfashir,rocket,wood,B24,B
alfashir1_B25,alfashir,rocket,wood,B25,B
alfashir1_C11,alfashir,tsf,wood,C11,C
alfashir1_C12,alfashir,tsf,wood,C12,C
alfashir1_C13,alfashir,tsf,wood,C13,C
alfashir1_C21,alfashir,tsf,wood,C21,C
alfashir1_C22,alfashir,tsf,wood,C22,C
alfashir2_C25,alfashir,tsf,wood,C25,C
alfashir2_C31,alfashir,tsf,wood,C31,C
alfashir2_C32,alfashir,tsf,wood,C32,C
alfashir2_C33,alfashir,tsf,wood,C33,C
alfashir2_C34,alfashir,tsf,wood,C34,C
alfashir2_C35,alfashir,tsf,wood,C35,C
alfashir2_C41,alfashir,tsf,wood,C41,C
alfashir2_C42,alfashir,tsf,wood,C42,C
alfashir2_C43,alfashir,tsf,wood,C43,C
alfashir2_C44,alfashir,tsf,wood,C44,C
alfashir2_C45,alfashir,tsf,wood,C45,C
darzagawa1_A01,darzagawa,rocket,charcoal,A01,A
darzagawa1_A03,darzagawa,rocket,charcoal,A03,A
darzagawa1_A04,darzagawa,rocket,charcoal,A04,A
darzagawa1_A06,darzagawa,rocket,charcoal,A06,A
darzagawa1_A07,darzagawa,rocket,charcoal,A07,A
darzagawa1_A08,darzagawa,rocket,charcoal,A08,A
darzagawa1_A09,darzagawa,rocket,charcoal,A09,A
darzagawa1_A12,darzagawa,rocket,charcoal,A12,A
darzagawa1_A15,darzagawa,rocket,charcoal,A15,A
darzagawa2_A19,darzagawa,rocket,charcoal,A19,A
darzagawa2_B31,darzagawa,tsf,charcoal,B31,B
darzagawa2_B33,darzagawa,tsf,charcoal,B33,B
darzagawa2_B34,darzagawa,tsf,charcoal,B34,B
darzagawa2_B35,darzagawa,tsf,charcoal,B35,B
darzagawa2_B41,darzagawa,tsf,charcoal,B41,B
darzagawa2_B42,darzagawa,tsf,charcoal,B42,B
darzagawa2_B44,darzagawa,tsf,charcoal,B44,B
darzagawa2_B45,darzagawa,tsf,charcoal,B45,B
jebelsi1_A21,jebelsi,rocket,wood,A21,A
jebelsi1_A22,jebelsi,rocket,wood,A22,A
jebelsi1_A23,jebelsi,rocket,wood,A23,A
jebelsi1_A24,jebelsi,rocket,wood,A24,A
jebelsi1_A25,jebelsi,rocket,wood,A25,A
jebelsi1_A26,jebelsi,rocket,wood,A26,A
jebelsi1_A27,jebelsi,rocket,wood,A27,A
jebelsi1_A29,jebelsi,rocket,wood,A29,A
jebelsi1_A30,jebelsi,rocket,wood,A30,A
jebelsi1_A31,jebelsi,rocket,wood,A31,A
jebelsi1_A33,jebelsi,rocket,wood,A33,A
jebelsi1_A35,jebelsi,rocket,wood,A35,A
jebelsi1_A36,jebelsi,rocket,wood,A36,A
jebelsi1_A37,jebelsi,rocket,wood,A37,A
jebelsi1_A38,jebelsi,rocket,wood,A38,A
jebelsi2_A39,jebelsi,tsf,wood,A39,A
jebelsi2_A40,jebelsi,tsf,wood,A40,A
jebelsi2_A41,jebelsi,tsf,wood,A41,A
jebelsi2_A42,jebelsi,tsf,wood,A42,A
jebelsi2_A44,jebelsi,tsf,wood,A44,A
jebelsi2_A47,jebelsi,tsf,wood,A47,A
jebelsi2_A48,jebelsi,tsf,wood,A48,A
korma1_D11,korma,rocket,charcoal,D11,D
korma1_D12,korma,rocket,charcoal,D12,D
korma1_D13,korma,rocket,charcoal,D13,D
korma1_D14,korma,rocket,charcoal,D14,D
korma1_D15,korma,rocket,charcoal,D15,D
korma1_D21,korma,rocket,charcoal,D21,D
korma1_D22,korma,rocket,charcoal,D22,D
korma1_D23,korma,rocket,charcoal,D23,D
korma1_D25,korma,rocket,charcoal,D25,D
korma1_D31,korma,rocket,charcoal,D31,D
korma1_D33,korma,rocket,charcoal,D33,D
korma1_D34,korma,rocket,charcoal,D34,D
korma1_D35,korma,rocket,charcoal,D35,D
korma1_D43,korma,rocket,charcoal,D43,D
korma2_D44,korma,tsf,charcoal,D44,D
korma2_D45,korma,tsf,charcoal,D45,D
korma2_D51,korma,tsf,charcoal,D51,D
korma2_D53,korma,tsf,charcoal,D53,D
korma2_D54,korma,tsf,charcoal,D54,D
korma2_D61,korma,tsf,charcoal,D61,D
korma2_D62,korma,tsf,charcoal,D62,D
korma2_D64,korma,tsf,charcoal,D64,D
korma2_D65,korma,tsf,charcoal,D65,D
tawilla1_A52,tawilla,rocket,wood,A52,A
tawilla1_A53,tawilla,rocket,wood,A53,A
tawilla1_A56,tawilla,rocket,wood,A56,A
tawilla1_A57,tawilla,rocket,wood,A57,A
tawilla1_A58,tawilla,rocket,wood,A58,A
tawilla1_A61,tawilla,rocket,wood,A61,A
tawilla1_A63,tawilla,rocket,wood,A63,A
tawilla1_A64,tawilla,rocket,wood,A64,A
tawilla1_A65,tawilla,rocket,wood,A65,A
tawilla1_A66,tawilla,rocket,wood,A66,A
tawilla1_A67,tawilla,rocket,wood,A67,A
tawilla2_A72,tawilla,tsf,wood,A72,A
tawilla2_A73,tawilla,tsf,wood,A73,A
tawilla2_A74,tawilla,tsf,wood,A74,A
tawilla2_A76,tawilla,tsf,wood,A76,A
tawilla2_A77,tawilla,tsf,wood,A77,A
tawilla2_A78,tawilla,tsf,wood,A78,A
tawilla2_A80,tawilla,tsf,wood,A80,A